local_time,direction,indicator,api_qh_eur_per_mw,milp_qh_eur_per_mw,difference
2026-02-14T08:00:00+01:00,up,2130,2.0,2.0,0.0
2026-02-14T08:15:00+01:00,up,2130,1.68,1.68,0.0
2026-02-14T08:30:00+01:00,up,2130,1.68,1.68,0.0
2026-02-14T08:45:00+01:00,up,2130,1.68,1.68,0.0
2026-02-14T08:00:00+01:00,down,634,1.24,1.24,0.0
2026-02-14T08:15:00+01:00,down,634,1.24,1.24,0.0
2026-02-14T08:30:00+01:00,down,634,1.24,1.24,0.0
2026-02-14T08:45:00+01:00,down,634,1.24,1.24,0.0
2026-02-14T12:00:00+01:00,up,2130,0.13,0.13,0.0
2026-02-14T12:15:00+01:00,up,2130,0.14,0.14,0.0
2026-02-14T12:30:00+01:00,up,2130,0.13,0.13,0.0
2026-02-14T12:45:00+01:00,up,2130,0.14,0.14,0.0
2026-02-14T12:00:00+01:00,down,634,0.89,0.89,0.0
2026-02-14T12:15:00+01:00,down,634,0.89,0.89,0.0
2026-02-14T12:30:00+01:00,down,634,0.89,0.89,0.0
2026-02-14T12:45:00+01:00,down,634,0.89,0.89,0.0
2026-02-14T19:00:00+01:00,up,2130,2.98,2.98,0.0
2026-02-14T19:15:00+01:00,up,2130,3.54,3.54,0.0
2026-02-14T19:30:00+01:00,up,2130,3.6,3.6,0.0
2026-02-14T19:45:00+01:00,up,2130,2.88,2.88,0.0
2026-02-14T19:00:00+01:00,down,634,1.24,1.24,0.0
2026-02-14T19:15:00+01:00,down,634,1.43,1.43,0.0
2026-02-14T19:30:00+01:00,down,634,1.53,1.53,0.0
2026-02-14T19:45:00+01:00,down,634,1.52,1.52,0.0
