month,region,expected_qh,up_valid_qh,up_coverage_pct,up_average_MW,up_sum_MW_QH,up_sum_times_0_25h_MWh_equiv,down_valid_qh,down_coverage_pct,down_average_MW,down_sum_MW_QH,down_sum_times_0_25h_MWh_equiv
2024-07,Península,2976,2976,100.0,895.8753360215054,2666125.0,666531.25,2976,100.0,897.5930779569892,2671237.0,667809.25
2024-08,Península,2976,2976,100.0,896.601814516129,2668287.0,667071.75,2976,100.0,897.2147177419355,2670111.0,667527.75
2024-09,Península,2880,2880,100.0,904.9479166666666,2606250.0,651562.5,2880,100.0,906.3229166666666,2610210.0,652552.5
2024-10,Península,2980,2980,100.0,1016.8244966442953,3030137.0,757534.25,2980,100.0,1012.718456375839,3017901.0,754475.25
2024-11,Península,2880,2880,100.0,1105.60625,3184146.0,796036.5,2880,100.0,1105.7965277777778,3184694.0,796173.5
2024-12,Península,2976,2976,100.0,1182.3212365591398,3518588.0,879647.0,2976,100.0,1174.372311827957,3494932.0,873733.0
2025-01,Península,2976,2976,100.0,1150.9126344086021,3425116.0,856279.0,2976,100.0,1129.1922043010752,3360476.0,840119.0
2025-02,Península,2688,2688,100.0,1147.516369047619,3084524.0,771131.0,2688,100.0,1128.029761904762,3032144.0,758036.0
2025-03,Península,2972,2972,100.0,1173.7688425302827,3488441.0,872110.25,2972,100.0,1181.1537685060566,3510389.0,877597.25
2025-04,Península,2880,2784,96.66666666666667,1183.1627155172414,3293925.0,823481.25,2784,96.66666666666667,1185.3685344827586,3300066.0,825016.5
2025-05,Península,2976,2976,100.0,1193.7315188172042,3552545.0,888136.25,2976,100.0,1194.9334677419354,3556122.0,889030.5
2025-06,Península,2880,2880,100.0,1196.7270833333334,3446574.0,861643.5,2880,100.0,1196.0833333333333,3444720.0,861180.0
2025-07,Península,2976,2976,100.0,1194.8914650537633,3555997.0,888999.25,2976,100.0,1196.6243279569892,3561154.0,890288.5
2025-08,Península,2976,2976,100.0,1193.6172715053763,3552205.0,888051.25,2976,100.0,1193.9727822580646,3553263.0,888315.75
2025-09,Península,2880,2880,100.0,1186.784375,3417939.0,854484.75,2880,100.0,1186.1975694444445,3416249.0,854062.25
2025-10,Península,2980,2980,100.0,1187.6436241610738,3539178.0,884794.5,2980,100.0,1174.1842281879194,3499069.0,874767.25
2025-11,Península,2880,2880,100.0,1178.9524305555556,3395383.0,848845.75,2880,100.0,1169.1361111111112,3367112.0,841778.0
2025-12,Península,2976,2976,100.0,1180.3387096774193,3512688.0,878172.0,2976,100.0,1170.0030241935483,3481929.0,870482.25
2026-01,Península,2976,2976,100.0,1193.5692204301076,3552062.0,888015.5,2976,100.0,1185.5510752688172,3528200.0,882050.0
2026-02,Península,2688,2688,100.0,1178.0528273809523,3166606.0,791651.5,2688,100.0,1168.0904017857142,3139827.0,784956.75
2026-03,Península,2972,2972,100.0,1214.8835800807537,3610634.0,902658.5,2972,100.0,1213.7816285329745,3607359.0,901839.75
2026-04,Península,2880,2880,100.0,1220.7670138888889,3515809.0,878952.25,2880,100.0,1220.96875,3516390.0,879097.5
2026-05,Península,2976,2976,100.0,1226.8024193548388,3650964.0,912741.0,2976,100.0,1226.5561155913979,3650231.0,912557.75
2026-06,Península,2880,2880,100.0,1235.0357638888888,3556903.0,889225.75,2880,100.0,1235.9743055555555,3559606.0,889901.5
2026-07,Península,2976,2976,100.0,1235.065188172043,3675554.0,918888.5,2976,100.0,1236.123991935484,3678705.0,919676.25
2026-08,Península,2976,2976,100.0,1232.198252688172,3667022.0,916755.5,2976,100.0,1233.258064516129,3670176.0,917544.0
