month,up_expected_qh,up_valid_qh,up_mean_rate,down_expected_qh,down_valid_qh,down_mean_rate
2025-01,2976,2976,0.6477866463822973,2976,2976,0.5961575955614676
2025-02,2688,2688,0.6800915741512514,2688,2688,0.6111036060854936
2025-03,2972,2972,0.6204831055245008,2972,2972,0.6426174109064046
2025-04,2880,2784,0.5492359373038544,2880,2784,0.5521759857477806
2025-05,2976,2976,0.4927049506603965,2976,2976,0.5225128964567084
2025-06,2880,2880,0.5267398414492259,2880,2880,0.478311162268911
2025-07,2976,2976,0.581421397378357,2976,2976,0.45173373272921197
2025-08,2976,2976,0.5609344378916217,2976,2976,0.5130530714745439
2025-09,2880,2880,0.5879726134626443,2880,2880,0.54342029257014
2025-10,2980,2980,0.5918230251713942,2980,2980,0.5163124773717459
2025-11,2880,2880,0.5438604650205396,2880,2880,0.5051912415146147
2025-12,2976,2976,0.5701901497789557,2976,2976,0.5478048157084425
2026-01,2976,2976,0.5737986858741818,2976,2976,0.5049916947977199
2026-02,2688,2688,0.58122865491603,2688,2688,0.5151093865295238
2026-03,2972,2972,0.5264757851360399,2972,2972,0.4836958622860312
2026-04,2880,2880,0.49831342305672893,2880,2880,0.4985827487175842
2026-05,2976,2976,0.5451325108875381,2976,2976,0.4930796029204842
2026-06,2880,2880,0.523209146235554,2880,2880,0.44103465394997066
2026-07,2976,2976,0.5143030332179385,2976,2976,0.4087840173937745
2026-08,2976,2976,0.5492528643585787,2976,2976,0.4319158696786575
