month,V0_kEUR_per_MW,V1_kEUR_per_MW,delta_kEUR_per_MW,change_pct,V0_valid_qh,V1_valid_qh,nominal_qh
2025-01,68.06473364274471,65.44488794590835,-2.6198456968363644,-3.849050097789697,2924,2928,2976
2025-02,72.21167445985935,70.11235977814063,-2.099314681718724,-2.907167985539072,2592,2592,2688
2025-03,64.9566374917616,62.683907129051754,-2.2727303627098436,-3.4988423823479,2936,2961,2972
2025-04,33.99989665821046,37.09774807743125,3.097851419220788,9.111355397230913,2448,2491,2880
2025-05,25.605084523547504,27.276168965349456,1.671084441801952,6.52637736956172,2328,2346,2976
2025-06,39.74827596676619,37.71436984660843,-2.0339061201577593,-5.116966888974817,2784,2784,2880
2025-07,35.89260877284553,40.251772784626375,4.359164011780848,12.145018600817803,2460,2463,2976
2025-08,50.52874251336086,48.9704152084587,-1.5583273049021642,-3.0840413344743522,2872,2879,2976
2025-09,56.003536418566796,54.113779938204075,-1.8897564803627205,-3.3743520520540082,2860,2867,2880
2025-10,35.22567969198598,41.83560563978247,6.609925947796491,18.764509317048848,2485,2504,2980
2025-11,37.017545099948144,35.6617198239643,-1.3558252759838467,-3.662655836099049,2572,2576,2880
2025-12,30.135015867942172,10.608055,-19.526960867942172,-64.7982431916191,2784,2784,2976
2026-01,34.476536925385055,35.875066951425204,1.3985300260401488,4.056468980822747,2590,2591,2976
2026-02,28.740319374126123,30.665501704621775,1.9251823304956517,6.6985418826932985,2649,2666,2688
2026-03,30.412744165907235,35.53674937183892,5.124005205931688,16.848217240704354,2741,2757,2972
2026-04,31.009023736319115,33.292423226722654,2.2833994904035393,7.363661332327354,2485,2489,2880
2026-05,32.40383661239979,35.61189356194244,3.2080569495426445,9.90023801167741,2586,2587,2976
2026-06,28.575180904294818,34.87040866173562,6.295227757440799,22.03040386174644,2548,2567,2880
2026-07,36.63793627091638,32.719339464489565,-3.9185968064268124,-10.695462695963698,2684,2686,2976
2026-08,24.966344526313843,11.953898038051546,-13.012446488262297,-52.11995081838086,1919,1920,2976
